Year,FishCountry,TaxonName,CommonName,SumCatch
1959,USA,Thunnus albacares,Yellowfin tuna,40963.87405
1960,Angola,Euthynnus alletteratus,Little tunny,172.6165663
1960,Angola,Thunnus albacares,Yellowfin tuna,2611.359848
1960,Australia,Scombridae,Mackerels  tunas and bonitos,13.08731946
1960,Australia,Thunnus maccoyii,Southern bluefin tuna,677.4205871
1960,Barbados,Makaira nigricans,Blue marlin,384.0042073
1960,Brazil,Katsuwonus pelamis,Skipjack tuna,135.5774836
1960,Brazil,Thunnus albacares,Yellowfin tuna,3137.553257
1960,Canada,Thunnus alalunga,Albacore,193.9822898
1960,Canada,Thunnus thynnus,Atlantic bluefin tuna,15.81807078
