IYear;LME;EcolFP
1968;25;0.71940467
1968;26;0.081391794
1968;27;0.088316444
1968;28;0.04861059
1968;29;0.166344855
1968;30;0.06884646
1968;31;0.009299873
1968;32;0.04188033
1968;33;0.025561483
1968;34;0.055010383
1968;35;0.109226818
1968;36;0.253505489
1968;37;0.161524338
1968;38;0.041339176
1968;39;0.007175263
1968;40;0.014548193
1968;41;0.015437852
1968;42;0.006909916
1968;43;0.008605021
1968;44;0.007692085
1968;45;0.008901237
1968;46;0.012995575
1968;47;0.653589611
1968;48;0.539837905
1968;49;0.280223861
1968;50;0.419480785
1968;51;0.232272202
1968;52;0.315927004
1968;53;0.086451002
1968;54;0.000354521
1968;55;0.000198013
1968;56;0.000218834
1968;57;0.000388895
1968;58;0.000879272
1968;59;0.106270229
1968;60;0.451114979
1968;61;0.000110893
1968;62;0.043081061
1968;63;0.001331958
1968;64;0.000329494
1968;65;0.000865655
1968;66;0.055136661
1969;1;0.091195919
1969;2;0.068377163
1969;3;0.101570138
1969;4;0.031014413
1969;5;0.053068561
1969;6;0.044362296
1969;7;0.557377035
1969;8;0.470711792
